Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11
1.44,-0.498088788554642,-0.422404106115879,-0.297197492381791,-0.0905504869546703,-0.309362833995621,-0.498419022671816,0.238638541509148,0.220572646015134,0.346591766937925,0.208333989355786
1.455,-0.498172155862499,-0.422487521763842,-0.297280944050479,-0.0906339618993595,-0.309446319057537,-0.498437941921389,0.238619602256613,0.220553688961136,0.3465727943704,0.208315003647583
1.47,-0.498255180842969,-0.422570629268756,-0.297364123107028,-0.0907172010845345,-0.309529606505308,-0.498456736005419,0.238600782169473,0.220534844800538,0.346553928155549,0.208296117486312
1.485,-0.498337676711316,-0.422653237522955,-0.297446834181213,-0.0908000049495952,-0.309612492672479,-0.498475371944844,0.23858211509818,0.220516148248492,0.346535203864777,0.208277367289359
1.5,-0.498419482601891,-0.422735181190523,-0.297528907490308,-0.0908821992987739,-0.309694798994794,-0.498493821980648,0.238563629684456,0.220497628828314,0.346516651900319,0.208258784333585
1.515,-0.498500464020237,-0.422816321285326,-0.297610199547984,-0.0909636361459181,-0.309776372995963,-0.498512063582072,0.238545349333781,0.220479310824028,0.346498297427169,0.208240394665946
1.53,-0.498580512615642,-0.42289654505085,-0.297690593156287,-0.0910441938235187,-0.309857088518747,-0.498530079348414,0.238527292296904,0.220461213344561,0.346480160419343,0.208222219131174
1.545,-0.498659545383726,-0.422975765251239,-0.297769996789855,-0.0911237764649025,-0.309936845309966,-0.498547856819812,0.238509471845027,0.220443350484279,0.346462255805129,0.208204273501126
1.56,-0.498737503408565,-0.42305391898336,-0.297848343482493,-0.0912023129699295,-0.310015568069999,-0.498565388212788,0.238491896522933,0.220425731564138,0.346444593695635,0.208186568690101
1.575,-0.49881435025073,-0.423130966117095,-0.297925589324035,-0.0912797555628227,-0.310093205076042,-0.498582670096561,0.238474570464035,0.220408361437452,0.346427179680629,0.208169111040109
1.59,-0.498890070081776,-0.423206887465578,-0.298001711670392,-0.0913560780461418,-0.31016972648419,-0.49859970302593,0.238457493751475,0.220391240844322,0.346410015175666,0.208151902660061
1.605,-0.49896466565735,-0.423281682779198,-0.298076707162113,-0.0914312738476782,-0.310245122408526,-0.498616491145859,0.238440662809976,0.220374366799321,0.346393097804965,0.208134941803212
1.62,-0.499038156210769,-0.423355368647062,-0.298150589637004,-0.091505353947588,-0.310319400866237,-0.4986330417817,0.238424070814285,0.220357732998011,0.346376421805434,0.208118223268106
1.635,-0.49911057533718,-0.423427976378115,-0.298223388010988,-0.0915783447619189,-0.310392585666834,-0.498649365027404,0.238407708101545,0.220341330229404,0.346359978438685,0.20810173880959
1.65,-0.499181968925777,-0.423499549921547,-0.298295144189004,-0.0916502860464078,-0.310464714311407,-0.498665473342122,0.238391562576866,0.220325146783263,0.346343756399613,0.208085477548221
1.665,-0.499252393184821,-0.423570143873364,-0.298365911054915,-0.0917212288716602,-0.31053583595513,-0.498681381163512,0.238375620103414,0.220309168843244,0.346327742212216,0.208069426368352
1.68,-0.499321912791726,-0.423639821603454,-0.298435750576827,-0.0917912337081504,-0.31060600947351,-0.498697104543878,0.23835986487053,0.220293380859004,0.346311920605421,0.208053570297374
1.695,-0.499390599188903,-0.423708653525675,-0.29850473205226,-0.0918603686474203,-0.310675301660694,-0.498712660813152,0.238344279735515,0.220277765892598,0.346296274863881,0.208037892860692
1.71,-0.49945852903563,-0.423776715522921,-0.298572930506797,-0.0919287077748302,-0.31074378557697,-0.49872806827079,0.23832884653672,0.220262305936457,0.346280787150732,0.208022376409125
1.725,-0.499525782817264,-0.423844087529858,-0.298640425250368,-0.0919963296995283,-0.310811539052662,-0.498743345906889,0.238313546377341,0.220246982202077,0.346265438801147,0.208007002417264
1.74,-0.499592443605777,-0.423910852268431,-0.298707298587456,-0.0920633162391656,-0.310878643347264,-0.498758513151406,0.238298359880826,0.220231775380105,0.346250210587123,0.20799175175296
1.755,-0.499658595959922,-0.423977094125295,-0.298773634671278,-0.0921297512503858,-0.310945181955871,-0.498773589649206,0.238283267420006,0.220216665873736,0.346235082955222,0.20797660491949
1.77,-0.499724324949306,-0.424042898156001,-0.298839518487422,-0.0921957195912882,-0.311011239549898,-0.498788595057851,0.238268249322908,0.220201634008263,0.346220036239977,0.20796154227291
1.785,-0.49978971528421,-0.424108349198104,-0.298905034949475,-0.0922613061988423,-0.31107690103558,-0.498803548864533,0.238253286058805,0.220186660220248,0.346205050856323,0.207946544217889
